"date","series","value"
"2010-09-01","NG_001_MONTH",3.762
"2010-09-01","NG_002_MONTH",4.059
"2010-09-02","NG_001_MONTH",3.751
"2010-09-02","NG_002_MONTH",4.025
"2010-09-03","NG_001_MONTH",3.939
"2010-09-03","NG_002_MONTH",4.17
"2010-09-07","NG_001_MONTH",3.852
"2010-09-07","NG_002_MONTH",4.098
"2010-09-08","NG_001_MONTH",3.814
"2010-09-08","NG_002_MONTH",4.069
"2010-09-09","NG_001_MONTH",3.768
"2010-09-09","NG_002_MONTH",4.026
"2010-09-10","NG_001_MONTH",3.883
"2010-09-10","NG_002_MONTH",4.125
"2010-09-13","NG_001_MONTH",3.938
"2010-09-13","NG_002_MONTH",4.169
"2010-09-14","NG_001_MONTH",3.966
"2010-09-14","NG_002_MONTH",4.169
"2010-09-15","NG_001_MONTH",3.995
"2010-09-15","NG_002_MONTH",4.191
"2010-09-16","NG_001_MONTH",4.062
"2010-09-16","NG_002_MONTH",4.238
"2010-09-17","NG_001_MONTH",4.024
"2010-09-17","NG_002_MONTH",4.203
"2010-09-20","NG_001_MONTH",3.822
"2010-09-20","NG_002_MONTH",4.005
"2010-09-21","NG_001_MONTH",3.919
"2010-09-21","NG_002_MONTH",4.067
"2010-09-22","NG_001_MONTH",3.966
"2010-09-22","NG_002_MONTH",4.096
"2010-09-23","NG_001_MONTH",4.019
"2010-09-23","NG_002_MONTH",4.156
"2010-09-24","NG_001_MONTH",3.881
"2010-09-24","NG_002_MONTH",4.009
"2010-09-27","NG_001_MONTH",3.8
"2010-09-27","NG_002_MONTH",3.916
"2010-09-28","NG_001_MONTH",3.837
"2010-09-28","NG_002_MONTH",3.951
"2010-09-29","NG_001_MONTH",3.962
"2010-09-29","NG_002_MONTH",4.178
"2010-09-30","NG_001_MONTH",3.872
"2010-09-30","NG_002_MONTH",4.122
"2010-10-01","NG_001_MONTH",3.797
"2010-10-01","NG_002_MONTH",4.077
"2010-10-04","NG_001_MONTH",3.727
"2010-10-04","NG_002_MONTH",4.047
"2010-10-05","NG_001_MONTH",3.743
"2010-10-05","NG_002_MONTH",4.067
"2010-10-06","NG_001_MONTH",3.865
"2010-10-06","NG_002_MONTH",4.187
"2010-10-07","NG_001_MONTH",3.617
"2010-10-07","NG_002_MONTH",3.993
"2010-10-08","NG_001_MONTH",3.651
"2010-10-08","NG_002_MONTH",4.046
"2010-10-11","NG_001_MONTH",3.601
"2010-10-11","NG_002_MONTH",4.01
"2010-10-12","NG_001_MONTH",3.629
"2010-10-12","NG_002_MONTH",3.992
"2010-10-13","NG_001_MONTH",3.696
"2010-10-13","NG_002_MONTH",4.041
"2010-10-14","NG_001_MONTH",3.657
"2010-10-14","NG_002_MONTH",4.016
"2010-10-15","NG_001_MONTH",3.535
"2010-10-15","NG_002_MONTH",3.925
"2010-10-18","NG_001_MONTH",3.431
"2010-10-18","NG_002_MONTH",3.87
"2010-10-19","NG_001_MONTH",3.513
"2010-10-19","NG_002_MONTH",3.895
"2010-10-20","NG_001_MONTH",3.539
"2010-10-20","NG_002_MONTH",3.893
"2010-10-21","NG_001_MONTH",3.368
"2010-10-21","NG_002_MONTH",3.75
"2010-10-22","NG_001_MONTH",3.332
"2010-10-22","NG_002_MONTH",3.693
"2010-10-25","NG_001_MONTH",3.317
"2010-10-25","NG_002_MONTH",3.666
"2010-10-26","NG_001_MONTH",3.354
"2010-10-26","NG_002_MONTH",3.766
"2010-10-27","NG_001_MONTH",3.292
"2010-10-27","NG_002_MONTH",3.763
"2010-10-28","NG_001_MONTH",3.89
"2010-10-28","NG_002_MONTH",4.134
"2010-10-29","NG_001_MONTH",4.038
"2010-10-29","NG_002_MONTH",4.265
"2010-11-01","NG_001_MONTH",3.832
"2010-11-01","NG_002_MONTH",4.086
"2010-11-02","NG_001_MONTH",3.87
"2010-11-02","NG_002_MONTH",4.122
"2010-11-03","NG_001_MONTH",3.836
"2010-11-03","NG_002_MONTH",4.091
"2010-11-04","NG_001_MONTH",3.856
"2010-11-04","NG_002_MONTH",4.109
"2010-11-05","NG_001_MONTH",3.937
"2010-11-05","NG_002_MONTH",4.176
"2010-11-08","NG_001_MONTH",4.088
"2010-11-08","NG_002_MONTH",4.279
"2010-11-09","NG_001_MONTH",4.21
"2010-11-09","NG_002_MONTH",4.372
"2010-11-10","NG_001_MONTH",4.046
"2010-11-10","NG_002_MONTH",4.239
"2010-11-11","NG_001_MONTH",3.927
"2010-11-11","NG_002_MONTH",4.111
"2010-11-12","NG_001_MONTH",3.799
"2010-11-12","NG_002_MONTH",3.982
"2010-11-15","NG_001_MONTH",3.845
"2010-11-15","NG_002_MONTH",4.028
"2010-11-16","NG_001_MONTH",3.818
"2010-11-16","NG_002_MONTH",3.994
"2010-11-17","NG_001_MONTH",4.03
"2010-11-17","NG_002_MONTH",4.19
"2010-11-18","NG_001_MONTH",4.007
"2010-11-18","NG_002_MONTH",4.183
"2010-11-19","NG_001_MONTH",4.164
"2010-11-19","NG_002_MONTH",4.324
"2010-11-22","NG_001_MONTH",4.271
"2010-11-22","NG_002_MONTH",4.432
"2010-11-23","NG_001_MONTH",4.264
"2010-11-23","NG_002_MONTH",4.415
"2010-11-24","NG_001_MONTH",4.267
"2010-11-24","NG_002_MONTH",4.388
"2010-11-26","NG_001_MONTH",4.399
"2010-11-26","NG_002_MONTH",4.412
"2010-11-29","NG_001_MONTH",4.21
"2010-11-29","NG_002_MONTH",4.234
"2010-11-30","NG_001_MONTH",4.18
"2010-11-30","NG_002_MONTH",4.199
"2010-12-01","NG_001_MONTH",4.269
"2010-12-01","NG_002_MONTH",4.279
"2010-12-02","NG_001_MONTH",4.343
"2010-12-02","NG_002_MONTH",4.35
"2010-12-03","NG_001_MONTH",4.349
"2010-12-03","NG_002_MONTH",4.359
"2010-12-06","NG_001_MONTH",4.488
"2010-12-06","NG_002_MONTH",4.488
"2010-12-07","NG_001_MONTH",4.393
"2010-12-07","NG_002_MONTH",4.401
"2010-12-08","NG_001_MONTH",4.606
"2010-12-08","NG_002_MONTH",4.604
"2010-12-09","NG_001_MONTH",4.435
"2010-12-09","NG_002_MONTH",4.44
"2010-12-10","NG_001_MONTH",4.417
"2010-12-10","NG_002_MONTH",4.428
"2010-12-13","NG_001_MONTH",4.42
"2010-12-13","NG_002_MONTH",4.434
"2010-12-14","NG_001_MONTH",4.255
"2010-12-14","NG_002_MONTH",4.284
"2010-12-15","NG_001_MONTH",4.222
"2010-12-15","NG_002_MONTH",4.251
"2010-12-16","NG_001_MONTH",4.048
"2010-12-16","NG_002_MONTH",4.084
"2010-12-17","NG_001_MONTH",4.066
"2010-12-17","NG_002_MONTH",4.103
"2010-12-20","NG_001_MONTH",4.237
"2010-12-20","NG_002_MONTH",4.264
"2010-12-21","NG_001_MONTH",4.059
"2010-12-21","NG_002_MONTH",4.084
"2010-12-22","NG_001_MONTH",4.152
"2010-12-22","NG_002_MONTH",4.188
"2010-12-23","NG_001_MONTH",4.083
"2010-12-23","NG_002_MONTH",4.133
"2010-12-27","NG_001_MONTH",4.112
"2010-12-27","NG_002_MONTH",4.155
"2010-12-28","NG_001_MONTH",4.216
"2010-12-28","NG_002_MONTH",4.288
"2010-12-29","NG_001_MONTH",4.287
"2010-12-29","NG_002_MONTH",4.298
"2010-12-30","NG_001_MONTH",4.338
"2010-12-30","NG_002_MONTH",4.352
"2010-12-31","NG_001_MONTH",4.405
"2010-12-31","NG_002_MONTH",4.422
"2011-01-03","NG_001_MONTH",4.65
"2011-01-03","NG_002_MONTH",4.614
"2011-01-04","NG_001_MONTH",4.669
"2011-01-04","NG_002_MONTH",4.632
"2011-01-05","NG_001_MONTH",4.473
"2011-01-05","NG_002_MONTH",4.441
"2011-01-06","NG_001_MONTH",4.434
"2011-01-06","NG_002_MONTH",4.404
"2011-01-07","NG_001_MONTH",4.422
"2011-01-07","NG_002_MONTH",4.402
"2011-01-10","NG_001_MONTH",4.399
"2011-01-10","NG_002_MONTH",4.389
"2011-01-11","NG_001_MONTH",4.481
"2011-01-11","NG_002_MONTH",4.476
"2011-01-12","NG_001_MONTH",4.531
"2011-01-12","NG_002_MONTH",4.526
"2011-01-13","NG_001_MONTH",4.407
"2011-01-13","NG_002_MONTH",4.419
